"{5., -0.9, 1.7408297026122384*^-16}","{5., -0.8, 0.30875883393560943}","{5., -0.7, 0.506283044706593}","{5., -0.6, 0.6081899068168749}","{5., -0.5, 0.6776846801695733}","{5., -0.4, 0.7171441327868421}","{5., -0.29999999999999993, 0.736945600938704}","{5., -0.19999999999999996, 0.7484882916478834}","{5., -0.09999999999999998, 0.7523661001244853}","{5., 0., 0.7535975428400722}","{5., 0.09999999999999998, 0.7523661001244891}","{5., 0.20000000000000007, 0.748488291647889}","{5., 0.30000000000000016, 0.736945600938708}","{5., 0.4, 0.7171441327868424}","{5., 0.5000000000000001, 0.6776846801695722}","{5., 0.6, 0.6081899068168741}","{5., 0.7000000000000001, 0.5062830447065892}","{5., 0.8000000000000002, 0.30875883393560544}","{5., 0.9, 5.120802273531984*^-16}"
"{5.1, -0.9, -2.3795257980676296*^-18}","{5.1, -0.8, 0.29755834138708165}","{5.1, -0.7, 0.48950116463269644}","{5.1, -0.6, 0.5919748907769165}","{5.1, -0.5, 0.6651887916573072}","{5.1, -0.4, 0.709545158483455}","{5.1, -0.29999999999999993, 0.7347154041460972}","{5.1, -0.19999999999999996, 0.7503779416194294}","{5.1, -0.09999999999999998, 0.7571027503471983}","{5.1, 0., 0.7594146708507025}","{5.1, 0.09999999999999998, 0.7571027503472022}","{5.1, 0.20000000000000007, 0.750377941619436}","{5.1, 0.30000000000000016, 0.7347154041461024}","{5.1, 0.4, 0.7095451584834551}","{5.1, 0.5000000000000001, 0.6651887916573055}","{5.1, 0.6, 0.591974890776915}","{5.1, 0.7000000000000001, 0.48950116463269305}","{5.1, 0.8000000000000002, 0.29755834138707754}","{5.1, 0.9, -2.7127085481193245*^-18}"
"{5.2, -0.9, 1.1825507447291758*^-16}","{5.2, -0.8, 0.2803318449169794}","{5.2, -0.7, 0.4645500352443855}","{5.2, -0.6, 0.5667597963254184}","{5.2, -0.5, 0.6413587472640414}","{5.2, -0.4, 0.6894182718651457}","{5.2, -0.29999999999999993, 0.7188807745495657}","{5.2, -0.19999999999999996, 0.7381569491223336}","{5.2, -0.09999999999999998, 0.7476045083770237}","{5.2, 0., 0.7506946024656174}","{5.2, 0.09999999999999998, 0.7476045083770281}","{5.2, 0.20000000000000007, 0.7381569491223409}","{5.2, 0.30000000000000016, 0.7188807745495714}","{5.2, 0.4, 0.6894182718651471}","{5.2, 0.5000000000000001, 0.6413587472640402}","{5.2, 0.6, 0.5667597963254165}","{5.2, 0.7000000000000001, 0.46455003524438193}","{5.2, 0.8000000000000002, 0.28033184491697544}","{5.2, 0.9, 2.1808968623831203*^-17}"
"{5.3, -0.9, 3.8755707791832353*^-16}","{5.3, -0.8, 0.2598134349457369}","{5.3, -0.7, 0.43301507885379387}","{5.3, -0.6, 0.5325887560265172}","{5.3, -0.5, 0.6074270310529416}","{5.3, -0.4, 0.6580439874585714}","{5.3, -0.29999999999999993, 0.6910828682522984}","{5.3, -0.19999999999999996, 0.7133284421883577}","{5.3, -0.09999999999999998, 0.7250385821584372}","{5.3, 0., 0.7289068498321203}","{5.3, 0.09999999999999998, 0.7250385821584419}","{5.3, 0.20000000000000007, 0.7133284421883658}","{5.3, 0.30000000000000016, 0.6910828682523048}","{5.3, 0.4, 0.6580439874585743}","{5.3, 0.5000000000000001, 0.607427031052941}","{5.3, 0.6, 0.5325887560265153}","{5.3, 0.7000000000000001, 0.43301507885379026}","{5.3, 0.8000000000000002, 0.2598134349457331}","{5.3, 0.9, 1.9135514506381432*^-16}"
"{5.4, -0.9, 2.1952601068072847*^-17}","{5.4, -0.8, 0.23577697098386965}","{5.4, -0.7, 0.39484908063637336}","{5.4, -0.6, 0.4896100613048881}","{5.4, -0.5, 0.5634241041547412}","{5.4, -0.4, 0.6154594115425767}","{5.4, -0.29999999999999993, 0.6513042609970254}","{5.4, -0.19999999999999996, 0.6758958569325276}","{5.4, -0.09999999999999998, 0.6894540616125895}","{5.4, 0., 0.694049215630974}","{5.4, 0.09999999999999998, 0.6894540616125959}","{5.4, 0.20000000000000007, 0.6758958569325352}","{5.4, 0.30000000000000016, 0.6513042609970313}","{5.4, 0.4, 0.6154594115425791}","{5.4, 0.5000000000000001, 0.5634241041547399}","{5.4, 0.6, 0.4896100613048855}","{5.4, 0.7000000000000001, 0.3948490806363692}","{5.4, 0.8000000000000002, 0.23577697098386607}","{5.4, 0.9, 2.919251466003913*^-16}"
"{5.5, -0.9, 1.21129020938848*^-16}","{5.5, -0.8, 0.20792641425243474}","{5.5, -0.7, 0.35128276072912634}","{5.5, -0.6, 0.44039087588448483}","{5.5, -0.5, 0.5114903221584061}","{5.5, -0.4, 0.5639382310603788}","{5.5, -0.29999999999999993, 0.6016174631340895}","{5.5, -0.19999999999999996, 0.6280599166387932}","{5.5, -0.09999999999999998, 0.6432816416211967}","{5.5, 0., 0.6483216021621443}","{5.5, 0.09999999999999998, 0.6432816416212034}","{5.5, 0.20000000000000007, 0.6280599166388017}","{5.5, 0.30000000000000016, 0.6016174631340958}","{5.5, 0.4, 0.5639382310603808}","{5.5, 0.5000000000000001, 0.5114903221584047}","{5.5, 0.6, 0.44039087588448217}","{5.5, 0.7000000000000001, 0.35128276072912196}","{5.5, 0.8000000000000002, 0.20792641425243125}","{5.5, 0.9, 3.3002646790871574*^-16}"
"{5.6, -0.9, 3.1322256779363466*^-16}","{5.6, -0.8, 0.1780347059543297}","{5.6, -0.7, 0.3036341376885389}","{5.6, -0.6, 0.38550882195907477}","{5.6, -0.5, 0.4529272212120688}","{5.6, -0.4, 0.5048212811831837}","{5.6, -0.29999999999999993, 0.5436956490510467}","{5.6, -0.19999999999999996, 0.5714042472364903}","{5.6, -0.09999999999999998, 0.5878718404580486}","{5.6, 0., 0.5933566075215592}","{5.6, 0.09999999999999998, 0.5878718404580553}","{5.6, 0.20000000000000007, 0.5714042472364995}","{5.6, 0.30000000000000016, 0.5436956490510536}","{5.6, 0.4, 0.5048212811831854}","{5.6, 0.5000000000000001, 0.45292722121206735}","{5.6, 0.6, 0.38550882195907177}","{5.6, 0.7000000000000001, 0.30363413768853414}","{5.6, 0.8000000000000002, 0.1780347059543261}","{5.6, 0.9, 2.515448750171769*^-16}"
"{5.7, -0.9, -3.447401672277105*^-17}","{5.7, -0.8, 0.14601687004266695}","{5.7, -0.7, 0.25194216218575965}","{5.7, -0.6, 0.32512198372305445}","{5.7, -0.5, 0.3878413404841328}","{5.7, -0.4, 0.4382399441032873}","{5.7, -0.29999999999999993, 0.4776060069761304}","{5.7, -0.19999999999999996, 0.5060234843821811}","{5.7, -0.09999999999999998, 0.5233681517365563}","{5.7, 0., 0.5292276686944223}","{5.7, 0.09999999999999998, 0.5233681517365624}","{5.7, 0.20000000000000007, 0.5060234843821902}","{5.7, 0.30000000000000016, 0.4776060069761371}","{5.7, 0.4, 0.4382399441032885}","{5.7, 0.5000000000000001, 0.38784134048413116}","{5.7, 0.6, 0.3251219837230512}","{5.7, 0.7000000000000001, 0.25194216218575527}","{5.7, 0.8000000000000002, 0.14601687004266384}","{5.7, 0.9, -1.717950938955645*^-17}"
"{5.8, -0.9, 4.495468378272261*^-18}","{5.8, -0.8, 0.11250306337715119}","{5.8, -0.7, 0.1979545877250165}","{5.8, -0.6, 0.2617970496630153}","{5.8, -0.5, 0.3188367501073384}","{5.8, -0.4, 0.367013910382646}","{5.8, -0.29999999999999993, 0.40609909392693067}","{5.8, -0.19999999999999996, 0.43480004796439453}","{5.8, -0.09999999999999998, 0.45281543929563844}","{5.8, 0., 0.45881618405383584}","{5.8, 0.09999999999999998, 0.4528154392956445}","{5.8, 0.20000000000000007, 0.43480004796440425}","{5.8, 0.30000000000000016, 0.4060990939269379}","{5.8, 0.4, 0.3670139103826478}","{5.8, 0.5000000000000001, 0.31883675010733675}","{5.8, 0.6, 0.2617970496630121}","{5.8, 0.7000000000000001, 0.1979545877250124}","{5.8, 0.8000000000000002, 0.11250306337714824}","{5.8, 0.9, -7.587357097369716*^-17}"
"{5.9, -0.9, 1.1178637037932643*^-16}","{5.9, -0.8, 0.07829431088642749}","{5.9, -0.7, 0.14257712161385755}","{5.9, -0.6, 0.19638071331825166}","{5.9, -0.5, 0.24703049373270997}","{5.9, -0.4, 0.2922759469510612}","{5.9, -0.29999999999999993, 0.330572064445828}","{5.9, -0.19999999999999996, 0.35908198789243734}","{5.9, -0.09999999999999998, 0.377429169470359}","{5.9, 0., 0.3835711420288877}","{5.9, 0.09999999999999998, 0.37742916947036503}","{5.9, 0.20000000000000007, 0.35908198789244783}","{5.9, 0.30000000000000016, 0.33057206444583587}","{5.9, 0.4, 0.2922759469510635}","{5.9, 0.5000000000000001, 0.24703049373270838}","{5.9, 0.6, 0.1963807133182486}","{5.9, 0.7000000000000001, 0.14257712161385377}","{5.9, 0.8000000000000002, 0.07829431088642473}","{5.9, 0.9, -1.139660952136412*^-16}"
